آ	N$آ+SG
ناتوانرا	N$ناتو+PL POSTP
ناتوانست	N$ناتو+PL COP3SG
ناتوانستی	N$ناتو+PL COP2SG
ناتوانش	N$ناتو+PL PRO3SG
ناتوانم	N$ناتو+PL PRO1SG#PL COP1SG
ناتوانی	N$ناتو+PL YEH#PL COP2SG
ناتوانیست	N$ناتو+PL YEH COP3SG
ناتویی	N$ناتوی+SG COP2SG#SG EZ*ناتو+SG YEH
ناتی	N$نا+SG PRO2SG YEH#SG PRO2SG COP2SG
ناجنس	N$ناجنس+SG
ناجنسان	N$ناجنس+PL
ناجنسی	N$ناجنسی+SG*ناجنس+SG YEH#SG COP2SG
ناجوان	N$ناجو+PL
ناجوانمرد	N$ناجوانمرد+SG
ناجوانمردم	N$ناجوانمرد+SG COP1SG#SG PRO1SG
ناجوانمردی	N$ناجوانمرد+SG YEH#SG COP2SG*ناجوانمردی+SG
ناجی	N$ناجی+SG
ناجیست	N$ناجی+SG COP3SG
ناجیم	N$ناجی+SG COP1SG#SG PRO1SG
ناجیی	N$ناجی+SG COP2SG#SG EZ
ناحق	N$ناحق+SG
ناحقی	N$ناحق+SG YEH#SG COP2SG
ناحیه	N$ناحیه+SG
ناخدا	N$ناخدا+SG
ناخدائی	N$ناخدا+SG YEH
ناخداست	N$ناخدا+SG COP3SG
ناخداهاست	N$ناخدا+PL COP3SG
ناخدای	N$ناخدا+SG COP2SG#SG EZ
ناخشنودی	N$ناخشنودی+SG
ناخلف	N$ناخلف+SG
ناخلفست	N$ناخلف+SG COP3SG
ناخلفی	N$ناخلف+SG YEH#SG COP2SG*ناخلفی+SG
ناخن	N$ناخن+SG
ناخنان	N$ناخن+PL
ناخنانش	N$ناخن+PL PRO3SG
ناخنانم	N$ناخن+PL PRO1SG#PL COP1SG
ناخنت	N$ناخن+SG PRO2SG
ناخنش	N$ناخن+SG PRO3SG
ناخنم	N$ناخن+SG COP1SG#SG PRO1SG
ناخنه	N$ناخنه+SG
ناخنها	N$ناخن+PL
ناخنهای	N$ناخن+PL EZ#PL COP2SG
ناخنه‌دار	N$ناخنه‌دار+SG
ناخنه‌ی	N$ناخنه+SG COP2SG#SG EZ
ناخنی	N$ناخن+SG YEH#SG COP2SG
ناخنیم	N$ناخن+SG COP1PL#SG YEH COP1SG
ناخن‌های	N$ناخن+PL EZ#PL COP2SG
ناخوانده	N$ناخوانده+SG
ناخوانده‌ام	N$ناخوانده+SG COP1SG#SG PRO1SG
ناخوانده‌ای	N$ناخوانده+SG COP2SG
ناخوش	N$ناخوش+SG
ناخوشان	N$ناخوش+PL
ناخوشت	N$ناخوش+SG PRO2SG
ناخوشست	N$ناخوش+SG COP3SG
ناخوشش	N$ناخوش+SG PRO3SG
ناخوشم	N$ناخوش+SG COP1SG#SG PRO1SG
ناخوشند	N$ناخوش+SG COP3PL
ناخوشها	N$ناخوش+PL
ناخوشی	N$ناخوش+SG YEH#SG COP2SG
ناخوشیست	N$ناخوش+SG YEH COP3SG
ناخوشیم	N$ناخوش+SG COP1PL#SG YEH COP1SG
ناخوش‌های	N$ناخوش+PL EZ#PL COP2SG
نادان	N$نادان+SG
نادانان	N$نادان+PL
نادانت	N$نادان+SG PRO2SG
نادانست	N$نادان+SG COP3SG
نادانش	N$نادان+SG PRO3SG
نادانم	N$نادان+SG COP1SG#SG PRO1SG
نادانند	N$نادان+SG COP3PL
نادانی	N$نادان+SG YEH#SG COP2SG*نادانی+SG
نادانیت	N$نادانی+SG PRO2SG
نادانیست	N$نادان+SG YEH COP3SG*نادانی+SG COP3SG
نادانیم	N$نادان+SG COP1PL#SG YEH COP1SG*نادانی+SG COP1SG#SG PRO1SG
نادانیند	N$نادان+SG YEH COP3PL*نادانی+SG COP3PL
نادانیی	N$نادان+SG YEH COP2SG*نادانی+SG COP2SG#SG EZ
نادر	N$نادر+SG
نادرات	N$نادره+PL*نادرات+SG
نادران	N$نادر+PL
نادرست	N$نادر+SG COP3SG
نادرستی	N$نادر+SG COP2SG*نادرستی+SG
نادرستیی	N$نادرستی+SG COP2SG#SG EZ
نادرش	N$نادر+SG PRO3SG
نادره	N$نادره+SG
نادره‌ای	N$نادره+SG COP2SG
نادره‌بین	N$نادره‌بین+SG
نادره‌ی	N$نادره+SG COP2SG#SG EZ
نادرویشم	N$نادرویش+SG COP1SG#SG PRO1SG
نادری	N$نادر+SG YEH#SG COP2SG
نادریست	N$نادر+SG YEH COP3SG
نادلیر	N$نادلیر+SG
نادلیرند	N$نادلیر+SG COP3PL
نادم	N$نادم+SG
نادیده	N$نادیده+SG
نادیده‌اش	N$نادیده+SG PRO3SG
نادیده‌ام	N$نادیده+SG COP1SG#SG PRO1SG
نادیده‌ای	N$نادیده+SG COP2SG
نادیده‌اید	N$نادیده+SG COP2PL
نادیده‌ایم	N$نادیده+SG COP1PL
نادیده‌ی	N$نادیده+SG COP2SG#SG EZ
نادیدگان	N$نادیده+PL
نار	N$نار+SG
نارا	N$نا+SG POSTP
ناراستی	N$ناراستی+SG
ناراستیست	N$ناراستی+SG COP3SG
ناراستیم	N$ناراستی+SG COP1SG#SG PRO1SG
ناربن	N$ناربن+SG
نارت	N$نار+SG PRO2SG
ناردانه	N$ناردانه+SG
ناردانگ	N$ناردانگ+SG
نارسایی	N$نارسایی+SG
نارساییهای	N$نارسایی+PL EZ#PL COP2SG
نارست	N$نار+SG COP3SG
نارستی	N$نار+SG COP2SG
نارش	N$نار+SG PRO3SG
نارشید	N$نار+SG PRO3SG COP2PL
نارم	N$نار+SG COP1SG#SG PRO1SG
نارمند	N$نار+SG PRO1SG COP3PL
نارمید	N$نار+SG PRO1SG COP2PL
نارند	N$نار+SG COP3PL
نارنگ	N$نارنگ+SG
ناره	N$ناره+SG
نارها	N$نار+PL
نارهم	N$ناره+SG PRO1SG
نارو	N$نارو+SG
ناروان	N$نارو+PL
ناروانست	N$نارو+PL COP3SG
ناروانم	N$نارو+PL PRO1SG#PL COP1SG
ناروانی	N$نارو+PL YEH#PL COP2SG
ناروایی	N$ناروایی+SG
نارون	N$نارون+SG
نارونان	N$نارون+PL
نارونی	N$نارون+SG YEH#SG COP2SG
ناری	N$نار+SG YEH#SG COP2SG*ناری+SG
ناریان	N$ناری+PL
ناریت	N$ناری+SG PRO2SG
نارید	N$نار+SG COP2PL
ناریست	N$نار+SG YEH COP3SG*ناری+SG COP3SG
ناریستی	N$نار+SG YEH COP2SG*ناری+SG COP2SG
ناریم	N$نار+SG COP1PL#SG YEH COP1SG*ناری+SG COP1SG#SG PRO1SG
ناریی	N$نار+SG YEH COP2SG*ناری+SG COP2SG#SG EZ
ناز	N$ناز+SG
نازان	N$ناز+PL
نازانیم	N$ناز+PL YEH COP1SG#PL COP1PL
نازبالش	N$نازبالش+SG
نازت	N$ناز+SG PRO2SG
نازست	N$ناز+SG COP3SG
نازش	N$ناز+SG PRO3SG
نازشان	N$ناز+SG PRO3PL
نازم	N$ناز+SG COP1SG#SG PRO1SG
نازند	N$ناز+SG COP3PL
نازنین	N$نازنین+SG
نازنینان	N$نازنین+PL
نازنینانند	N$نازنین+PL COP3PL
نازنینانی	N$نازنین+PL YEH#PL COP2SG
نازنینت	N$نازنین+SG PRO2SG
نازنینست	N$نازنین+SG COP3SG
نازنینش	N$نازنین+SG PRO3SG
نازنینم	N$نازنین+SG COP1SG#SG PRO1SG
نازنینند	N$نازنین+SG COP3PL
نازنینی	N$نازنین+SG YEH#SG COP2SG*نازنینی+SG
نازها	N$ناز+PL
نازهای	N$ناز+PL EZ#PL COP2SG
نازو	N$نازو+SG
نازپرور	N$نازپرور+SG
نازپرورد	N$نازپرورد+SG
نازپروردش	N$نازپرورد+SG PRO3SG
نازپروردی	N$نازپرورد+SG YEH#SG COP2SG
نازپری	N$نازپری+SG
نازکشی	N$نازکشی+SG
نازکی	N$نازکی+SG
نازکیت	N$نازکی+SG PRO2SG
نازکیست	N$نازکی+SG COP3SG
نازکیش	N$نازکی+SG PRO3SG
نازکییی	N$نازکی+SG YEH
نازک‌اندامی	N$نازک‌اندامی+SG
نازک‌دلی	N$نازک‌دلی+SG
نازی	N$ناز+SG YEH#SG COP2SG*نازی+SG
نازیست	N$ناز+SG YEH COP3SG*نازیست+SG*نازی+SG COP3SG
نازیم	N$ناز+SG COP1PL#SG YEH COP1SG*نازی+SG COP1SG#SG PRO1SG
ناساختگی	N$ناساختگی+SG
ناسازگاری	N$ناسازگاری+SG
ناسازگاریش	N$ناسازگاری+SG PRO3SG
ناسازی	N$ناسازی+SG
ناسازیی	N$ناسازی+SG COP2SG#SG EZ
ناسامان	N$ناسا+SG PRO1PL
ناساید	N$ناسا+SG COP2PL
ناسایم	N$ناسا+SG PRO1SG#SG COP1PL
ناسخ	N$ناسخ+SG
ناسخست	N$ناسخ+SG COP3SG
ناسزا	N$ناسزا+SG
ناسزائی	N$ناسزا+SG YEH
ناسزاست	N$ناسزا+SG COP3SG
ناسزای	N$ناسزا+SG COP2SG#SG EZ
ناسزایم	N$ناسزا+SG PRO1SG#SG COP1PL
ناسزایی	N$ناسزا+SG YEH
ناسوت	N$ناسوت+SG
ناسوتم	N$ناسوت+SG COP1SG#SG PRO1SG
ناسوتی	N$ناسوت+SG YEH#SG COP2SG
ناسوری	N$ناسوری+SG
ناسپاسی	N$ناسپاسی+SG
ناسپاسیها	N$ناسپاسی+PL
ناسک	N$ناسک+SG
ناشتا	N$ناشتا+SG
ناشتائی	N$ناشتا+SG YEH
ناشتائیست	N$ناشتا+SG YEH COP3SG
ناشتاست	N$ناشتا+SG COP3SG
ناشتای	N$ناشتا+SG COP2SG#SG EZ
ناشر	N$ناشر+SG
ناشسته‌رو	N$ناشسته‌رو+SG
ناشناس	N$ناشناس+SG
ناشناسان	N$ناشناس+PL
ناشناسی	N$ناشناس+SG YEH#SG COP2SG
ناشکری	N$ناشکری+SG
ناشکیبایی	N$ناشکیبایی+SG
ناشکیبی	N$ناشکیبی+SG
ناشی	N$نا+SG PRO3SG YEH#SG PRO3SG COP2SG*ناشی+SG
ناشیان	N$ناشی+PL
ناصبی	N$ناصب+SG YEH#SG COP2SG
ناصح	N$ناصح+SG
ناصحان	N$ناصح+PL
ناصحانشان	N$ناصح+PL PRO3PL
ناصحت	N$ناصح+SG PRO2SG
ناصحست	N$ناصح+SG COP3SG
ناصحم	N$ناصح+SG COP1SG#SG PRO1SG
ناصحی	N$ناصح+SG YEH#SG COP2SG
ناصح‌اند	N$ناصح+SG COP3PL
ناصر	N$ناصر+SG
ناصرست	N$ناصر+SG COP3SG
ناصرش	N$ناصر+SG PRO3SG
ناصرم	N$ناصر+SG COP1SG#SG PRO1SG
ناصره	N$ناصره+SG
ناصری	N$ناصر+SG YEH#SG COP2SG
ناصریم	N$ناصر+SG COP1PL#SG YEH COP1SG
ناصواب	N$ناصواب+SG
ناصوابت	N$ناصواب+SG PRO2SG
ناصوابست	N$ناصواب+SG COP3SG
ناصوابی	N$ناصواب+SG YEH#SG COP2SG
ناصیه	N$ناصیه+SG
ناصیه‌ی	N$ناصیه+SG COP2SG#SG EZ
ناطق	N$ناطق+SG
ناطقان	N$ناطق+PL
ناطقش	N$ناطق+SG PRO3SG
ناطقم	N$ناطق+SG COP1SG#SG PRO1SG
ناطقی	N$ناطق+SG YEH#SG COP2SG
ناطقیست	N$ناطق+SG YEH COP3SG
ناطور	N$ناطور+SG
ناطوری	N$ناطور+SG YEH#SG COP2SG
ناظر	N$ناظر+SG
ناظران	N$ناظر+PL
ناظرانش	N$ناظر+PL PRO3SG
ناظرت	N$ناظر+SG PRO2SG
ناظرست	N$ناظر+SG COP3SG
ناظرستم	N$ناظر+SG COP1SG
ناظرش	N$ناظر+SG PRO3SG
ناظرم	N$ناظر+SG COP1SG#SG PRO1SG
ناظرند	N$ناظر+SG COP3PL
ناظری	N$ناظر+SG YEH#SG COP2SG*ناظری+SG
ناظرید	N$ناظر+SG COP2PL
ناظم	N$ناظم+SG
ناظمه	N$ناظمه+SG
ناف	N$ناف+SG
نافت	N$ناف+SG PRO2SG
نافذ	N$نافذ+SG
نافذت	N$نافذ+SG PRO2SG
نافذست	N$نافذ+SG COP3SG
نافذش	N$نافذ+SG PRO3SG
نافرجام	N$نافرجام+SG
نافرمان	N$نافرمان+SG
نافرمانست	N$نافرمان+SG COP3SG
نافرمانی	N$نافرمان+SG YEH#SG COP2SG*نافرمانی+SG
نافست	N$ناف+SG COP3SG
نافش	N$ناف+SG PRO3SG
نافشان	N$ناف+SG PRO3PL
نافله	N$نافله+SG
نافم	N$ناف+SG COP1SG#SG PRO1SG
نافه	N$نافه+SG
نافها	N$ناف+PL
نافهاشان	N$ناف+PL PRO3PL
نافهای	N$ناف+PL EZ#PL COP2SG
نافه‌ئی	N$نافه+SG YEH
نافه‌اش	N$نافه+SG PRO3SG
نافه‌ام	N$نافه+SG COP1SG#SG PRO1SG
نافه‌ای	N$نافه+SG COP2SG
نافه‌ست	N$نافه+SG COP3SG
نافه‌ها	N$نافه+PL
نافه‌هاش	N$نافه+PL PRO3SG
نافه‌های	N$نافه+PL EZ#PL COP2SG
نافه‌ی	N$نافه+SG COP2SG#SG EZ
نافی	N$ناف+SG YEH#SG COP2SG
نافیست	N$ناف+SG YEH COP3SG
ناقابلی	N$ناقابلی+SG
ناقد	N$ناقد+SG
ناقدان	N$ناقد+PL
ناقدانند	N$ناقد+PL COP3PL
ناقدانی	N$ناقد+PL YEH#PL COP2SG
ناقدش	N$ناقد+SG PRO3SG
ناقدی	N$ناقد+SG YEH#SG COP2SG
ناقدیست	N$ناقد+SG YEH COP3SG
ناقض	N$ناقض+SG
ناقل	N$ناقل+SG
ناقلان	N$ناقل+PL
ناقلست	N$ناقل+SG COP3SG
ناقلی	N$ناقل+SG YEH#SG COP2SG
ناقه	N$ناقه+SG
ناقه‌ات	N$ناقه+SG PRO2SG
ناقه‌اش	N$ناقه+SG PRO3SG
ناقه‌ای	N$ناقه+SG COP2SG
ناقه‌ش	N$ناقه+SG PRO3SG
ناقه‌ی	N$ناقه+SG COP2SG#SG EZ
نال	N$نال+SG
نالان	N$نال+PL
نالانت	N$نال+PL PRO2SG
نالانش	N$نال+PL PRO3SG
نالانم	N$نال+PL PRO1SG#PL COP1SG
نالانند	N$نال+PL COP3PL
نالانی	N$نال+PL YEH#PL COP2SG
نالانیست	N$نال+PL YEH COP3SG
نالست	N$نال+SG COP3SG
نالش	N$نال+SG PRO3SG*نالش+SG
نالشهای	N$نالش+PL EZ#PL COP2SG
نالشی	N$نال+SG PRO3SG YEH#SG PRO3SG COP2SG*نالش+SG YEH#SG COP2SG
نالشیم	N$نال+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL*نالش+SG COP1PL#SG YEH COP1SG
نالم	N$نال+SG COP1SG#SG PRO1SG
نالند	N$نال+SG COP3PL
ناله	N$ناله+SG
نالها	N$نال+PL
نالهای	N$نال+PL EZ#PL COP2SG
نالهایی	N$نال+PL YEH
ناله‌ئی	N$ناله+SG YEH
ناله‌ات	N$ناله+SG PRO2SG
ناله‌اش	N$ناله+SG PRO3SG
ناله‌ام	N$ناله+SG COP1SG#SG PRO1SG
ناله‌ای	N$ناله+SG COP2SG
ناله‌ست	N$ناله+SG COP3SG
ناله‌ش	N$ناله+SG PRO3SG
ناله‌ها	N$ناله+PL
ناله‌هاست	N$ناله+PL COP3SG
ناله‌های	N$ناله+PL EZ#PL COP2SG
ناله‌ی	N$ناله+SG COP2SG#SG EZ
ناله‌یی	N$ناله+SG YEH
نالی	N$نال+SG YEH#SG COP2SG
نالید	N$نال+SG COP2PL
نالیست	N$نال+SG YEH COP3SG
نالیم	N$نال+SG COP1PL#SG YEH COP1SG
نال‌ام	N$نال+SG COP1SG
نال‌ها	N$نال+PL
نام	N$نا+SG COP1SG#SG PRO1SG*نام+SG
نامان	N$نا+SG PRO1PL*نام+PL
نامبرده	N$نامبرده+SG
نامت	N$نام+SG PRO2SG
نامتان	N$نام+SG PRO2PL
نامجو	N$نامجو+SG
نامجوی	N$نامجوی+SG*نامجو+SG COP2SG#SG EZ
نامجویان	N$نامجوی+PL
نامجویست	N$نامجوی+SG COP3SG
نامجویم	N$نامجوی+SG COP1SG#SG PRO1SG*نامجو+SG PRO1SG#SG COP1PL
نامجویند	N$نامجوی+SG COP3PL
نامجویی	N$نامجویی+SG*نامجوی+SG COP2SG#SG EZ*نامجو+SG YEH
نامحرم	N$نامحرم+SG
نامحرمان	N$نامحرم+PL
نامحرمانند	N$نامحرم+PL COP3PL
نامحرمم	N$نامحرم+SG COP1SG#SG PRO1SG
نامحرمی	N$نامحرمی+SG*نامحرم+SG YEH#SG COP2SG
نامحرمیش	N$نامحرمی+SG PRO3SG
نامحرمیم	N$نامحرمی+SG COP1SG#SG PRO1SG*نامحرم+SG COP1PL#SG YEH COP1SG
نامحرمیها	N$نامحرمی+PL
نامدار	N$نامدار+SG
نامداران	N$نامدار+PL
نامدارانش	N$نامدار+PL PRO3SG
نامدارست	N$نامدار+SG COP3SG
نامدارش	N$نامدار+SG PRO3SG
نامدارم	N$نامدار+SG COP1SG#SG PRO1SG
نامداری	N$نامدار+SG YEH#SG COP2SG*نامداری+SG
نامداریت	N$نامداری+SG PRO2SG
نامداریست	N$نامدار+SG YEH COP3SG*نامداری+SG COP3SG
نامراد	N$نامراد+SG
نامرادان	N$نامراد+PL
نامرادی	N$نامراد+SG YEH#SG COP2SG*نامرادی+SG
نامرادیها	N$نامرادی+PL
نامرادی‌ها	N$نامرادی+PL
نامرد	N$نامرد+SG
نامردان	N$نامرد+PL
نامردانست	N$نامرد+PL COP3SG
نامردم	N$نامرد+SG COP1SG#SG PRO1SG
نامردمان	N$نامرد+SG PRO1PL
نامردمست	N$نامرد+SG PRO1SG COP3SG
نامردمی	N$نامرد+SG PRO1SG COP2SG#SG PRO1SG YEH*نامردمی+SG
نامردمیست	N$نامرد+SG PRO1SG YEH COP3SG*نامردمی+SG COP3SG
نامردمیهای	N$نامردمی+PL EZ#PL COP2SG
نامردی	N$نامرد+SG YEH#SG COP2SG*نامردی+SG
نامردیش	N$نامردی+SG PRO3SG
نامردیم	N$نامرد+SG COP1PL#SG YEH COP1SG*نامردی+SG COP1SG#SG PRO1SG
نامزد	N$نامزد+SG
نامزدت	N$نامزد+SG PRO2SG
نامزدشان	N$نامزد+SG PRO3PL
نامست	N$نا+SG PRO1SG COP3SG*نام+SG COP3SG
نامستی	N$نا+SG PRO1SG COP2SG*نام+SG COP2SG
نامش	N$نام+SG PRO3SG
نامشان	N$نام+SG PRO3PL
نامم	N$نا+SG PRO1SG COP1SG*نام+SG COP1SG#SG PRO1SG
نامند	N$نا+SG PRO1SG COP3PL*نام+SG COP3PL
نامه	N$نامه+SG
نامها	N$نام+PL
نامهائیم	N$نام+PL YEH COP1SG
نامهات	N$نام+PL PRO2SG
نامهاست	N$نام+PL COP3SG
نامهاش	N$نام+PL PRO3SG
نامهای	N$نام+PL EZ#PL COP2SG
نامهایی	N$نام+PL YEH
نامهربانی	N$نامهربانی+SG
نامهربانیش	N$نامهربانی+SG PRO3SG
نامه‌ئی	N$نامه+SG YEH
نامه‌ات	N$نامه+SG PRO2SG
نامه‌اش	N$نامه+SG PRO3SG
نامه‌ام	N$نامه+SG COP1SG#SG PRO1SG
نامه‌ای	N$نامه+SG COP2SG
نامه‌بر	N$نامه‌بر+SG
نامه‌ت	N$نامه+SG PRO2SG
نامه‌ست	N$نامه+SG COP3SG
نامه‌ها	N$نامه+PL
نامه‌هاشان	N$نامه+PL PRO3PL
نامه‌های	N$نامه+PL EZ#PL COP2SG
نامه‌ی	N$نامه+SG COP2SG#SG EZ
نامه‌یی	N$نامه+SG YEH
نامه‌ییست	N$نامه+SG YEH COP3SG
نامور	N$نامور+SG
ناموران	N$نامور+PL
نامورتان	N$نامور+SG PRO2PL
نامورش	N$نامور+SG PRO3SG
نامورم	N$نامور+SG COP1SG#SG PRO1SG
ناموری	N$نامور+SG YEH#SG COP2SG
ناموریست	N$نامور+SG YEH COP3SG
ناموزونی	N$ناموزونی+SG
ناموس	N$ناموس+SG
ناموسش	N$ناموس+SG PRO3SG
ناموسم	N$ناموس+SG COP1SG#SG PRO1SG
ناموسی	N$ناموس+SG YEH#SG COP2SG
ناموسیست	N$ناموس+SG YEH COP3SG
ناموسیم	N$ناموس+SG COP1PL#SG YEH COP1SG
نامی	N$نا+SG PRO1SG COP2SG#SG PRO1SG YEH*نام+SG YEH#SG COP2SG
نامیخته	N$نامیخته+SG
نامیست	N$نا+SG PRO1SG YEH COP3SG*نام+SG YEH COP3SG
نامیم	N$نا+SG PRO1SG COP1PL#SG PRO1SG YEH COP1SG*نام+SG COP1PL#SG YEH COP1SG
نامی‌ست	N$نا+SG PRO1SG YEH COP3SG*نام+SG YEH COP3SG
نام‌آور	N$نام‌آور+SG
نام‌آوران	N$نام‌آور+PL
نام‌آوری	N$نام‌آوری+SG*نام‌آور+SG YEH#SG COP2SG
نام‌آوریهاست	N$نام‌آوری+PL COP3SG
نام‌آوری‌ست	N$نام‌آوری+SG COP3SG*نام‌آور+SG YEH COP3SG
نام‌اند	N$نا+SG PRO1SG COP3PL*نام+SG COP3PL
نام‌ها	N$نام+PL
نام‌های	N$نام+PL EZ#PL COP2SG
نان	N$نان+SG
نانت	N$نان+SG PRO2SG
نانتند	N$نان+SG PRO2SG COP3PL
نانست	N$نان+SG COP3SG
نانش	N$نان+SG PRO3SG
نانشان	N$نان+SG PRO3PL
نانم	N$نان+SG COP1SG#SG PRO1SG
نانمی	N$نان+SG PRO1SG COP2SG#SG PRO1SG YEH
نانند	N$نان+SG COP3PL
نانها	N$نان+PL
نانهاست	N$نان+PL COP3SG
نانهای	N$نان+PL EZ#PL COP2SG
نانوا	N$نانوا+SG
نانوائی	N$نانوا+SG YEH
نانواست	N$نانوا+SG COP3SG
نانوشته	N$نانوشته+SG
نانی	N$نانی+SG*نان+SG YEH#SG COP2SG
نانید	N$نان+SG COP2PL
نانیست	N$نانی+SG COP3SG*نان+SG YEH COP3SG
نانیش	N$نانی+SG PRO3SG
نانیم	N$نانی+SG COP1SG#SG PRO1SG*نان+SG COP1PL#SG YEH COP1SG
نانیی	N$نانی+SG COP2SG#SG EZ*نان+SG YEH COP2SG
نان‌خور	N$نان‌خور+SG
نان‌خوری	N$نان‌خور+SG YEH#SG COP2SG
نان‌مان	N$نان+SG PRO1PL
نان‌ها	N$نان+PL
نان‌هات	N$نان+PL PRO2SG
نان‌های	N$نان+PL EZ#PL COP2SG
ناهار	N$ناهار+SG
ناهارش	N$ناهار+SG PRO3SG
ناهارم	N$ناهار+SG COP1SG#SG PRO1SG
ناهارند	N$ناهار+SG COP3PL
ناهاری	N$ناهار+SG YEH#SG COP2SG
ناهاریم	N$ناهار+SG COP1PL#SG YEH COP1SG
ناهستی	N$ناه+SG COP2SG
ناهمواری	N$ناهمواری+SG
ناهمواریست	N$ناهمواری+SG COP3SG
ناهمواریم	N$ناهمواری+SG COP1SG#SG PRO1SG
ناهید	N$ناهید+SG
ناهیدی	N$ناهید+SG YEH#SG COP2SG
ناو	N$ناو+SG
ناودان	N$ناودان+SG
ناودانست	N$ناودان+SG COP3SG
ناودانش	N$ناودان+SG PRO3SG
ناودانم	N$ناودان+SG COP1SG#SG PRO1SG
ناودانهای	N$ناودان+PL EZ#PL COP2SG
ناودانی	N$ناودان+SG YEH#SG COP2SG
ناودان‌ها	N$ناودان+PL
ناورد	N$ناورد+SG
ناوردت	N$ناورد+SG PRO2SG
ناوردشان	N$ناورد+SG PRO3PL
ناوردم	N$ناورد+SG COP1SG#SG PRO1SG
ناوردند	N$ناورد+SG COP3PL
ناوردها	N$ناورد+PL
ناوردگاه	N$ناوردگاه+SG
ناوردی	N$ناورد+SG YEH#SG COP2SG
ناوست	N$ناو+SG COP3SG
ناوه	N$ناوه+SG
ناوهاش	N$ناو+PL PRO3SG
ناوهم	N$ناوه+SG PRO1SG
ناوک	N$ناوک+SG
ناوکت	N$ناوک+SG PRO2SG
ناوکش	N$ناوک+SG PRO3SG
ناوکم	N$ناوک+SG COP1SG#SG PRO1SG
ناوکی	N$ناوک+SG YEH#SG COP2SG
ناوک‌انداز	N$ناوک‌انداز+SG
ناوک‌اندازی	N$ناوک‌انداز+SG YEH#SG COP2SG
ناوک‌شان	N$ناوک+SG PRO3PL
ناوک‌های	N$ناوک+PL EZ#PL COP2SG
ناوی	N$ناوی+SG*ناو+SG COP2SG#SG EZ
ناپارسایی	N$ناپارسایی+SG
ناپاک	N$ناپاک+SG
ناپاکان	N$ناپاک+PL
ناپاکت	N$ناپاک+SG PRO2SG
ناپاکی	N$ناپاک+SG YEH#SG COP2SG*ناپاکی+SG
ناپاکیت	N$ناپاکی+SG PRO2SG
ناپایداری	N$ناپایداری+SG
ناچاری	N$ناچاری+SG
ناچاریت	N$ناچاری+SG PRO2SG
ناچاریست	N$ناچاری+SG COP3SG
ناچخ	N$ناچخ+SG
ناچخش	N$ناچخ+SG PRO3SG
ناچخی	N$ناچخ+SG YEH#SG COP2SG
ناچیزی	N$ناچیزی+SG
ناچیزیم	N$ناچیزی+SG COP1SG#SG PRO1SG
ناک	N$ناک+SG
ناکام	N$ناکا+SG COP1SG#SG PRO1SG*ناکام+SG
ناکامان	N$ناکا+SG PRO1PL*ناکام+PL
ناکامت	N$ناکام+SG PRO2SG
ناکامش	N$ناکام+SG PRO3SG
ناکامی	N$ناکا+SG PRO1SG COP2SG#SG PRO1SG YEH*ناکام+SG YEH#SG COP2SG
ناکامیست	N$ناکا+SG PRO1SG YEH COP3SG*ناکام+SG YEH COP3SG
ناکامیم	N$ناکا+SG PRO1SG COP1PL#SG PRO1SG YEH COP1SG*ناکام+SG COP1PL#SG YEH COP1SG
ناکامیی	N$ناکا+SG PRO1SG YEH COP2SG*ناکام+SG YEH COP2SG
ناکان	N$ناک+PL
ناکت	N$ناک+SG PRO2SG
ناکرا	N$ناک+SG POSTP
ناکس	N$ناکس+SG
ناکسان	N$ناکس+PL
